protein_id,dataset,aliases,go_terms,go_term_names_if_available,go_namespaces,non_generic_go_terms,neighbor_ids,weighted_degree,local_clustering,k_core_score,text_profile,evidence_richness,annotation_uncertainty,weighted_degree_norm,local_clustering_norm,k_core_score_norm,evidence_richness_norm,annotation_uncertainty_norm
YDR086C,krogan,,GO:0005198;GO:0005637;GO:0005783;GO:0005784;GO:0005789;GO:0006605;GO:0006616;GO:0006886;GO:0008320;GO:0015031;GO:0015450;GO:0016020;GO:0016021;GO:0031204;GO:0071261,,,GO:0005198;GO:0005637;GO:0005783;GO:0005784;GO:0005789;GO:0006605;GO:0006616;GO:0006886;GO:0008320;GO:0015031;GO:0015450;GO:0016020;GO:0016021;GO:0031204;GO:0071261,YAL007C,1.0,0.0,1,YDR086C GO:0005198 GO:0005637 GO:0005783 GO:0005784 GO:0005789 GO:0006605 GO:0006616 GO:0006886 GO:0008320 GO:0015031 GO:0015450 GO:0016020 GO:0016021 GO:0031204 GO:0071261,16,0.0,0.0,0.0,0.0,0.23076923076923078,0.0
YDR174W,krogan,,GO:0000400;GO:0000790;GO:0001174;GO:0003677;GO:0003690;GO:0005634;GO:0005730;GO:0005737;GO:0005829;GO:0006265;GO:0006323;GO:0006356;GO:0006357;GO:0008301;GO:0030261;GO:0032040;GO:0033553;GO:0044804;GO:0044877;GO:0060962;GO:0070550;GO:0090202;GO:0090579,,,GO:0000400;GO:0000790;GO:0001174;GO:0003677;GO:0003690;GO:0005634;GO:0005730;GO:0005737;GO:0005829;GO:0006265;GO:0006323;GO:0006356;GO:0006357;GO:0008301;GO:0030261;GO:0032040;GO:0033553;GO:0044804;GO:0044877;GO:0060962;GO:0070550;GO:0090202;GO:0090579,YAL007C;YAR007C;YBL003C;YBR009C;YBR010W;YBR060C;YBR159W;YBR247C;YCR043C;YDL043C;YDL095W;YDL182W;YDL208W;YDR044W;YDR381W;YHR193C;YDR176W;YDR283C;YDR362C;YER095W;YER116C;YFL024C;YFR013W;YGL035C;YGL099W;YGL200C;YGR090W;YGR250C;YGR275W;YHR039C;YHR118C;YIL036W;YIL076W;YIL150C;YJL033W;YLR022C;YLR203C;YLR320W;YLR385C;YLR429W;YLR442C;YLR455W;YML012W;YML131W;YMR044W;YMR123W;YMR140W;YMR229C;YNL031C;YOL004W;YOR172W;YOR217W;YPL153C;YPR161C;YPR175W,55.0,0.057912457912457915,8,YDR174W GO:0000400 GO:0000790 GO:0001174 GO:0003677 GO:0003690 GO:0005634 GO:0005730 GO:0005737 GO:0005829 GO:0006265 GO:0006323 GO:0006356 GO:0006357 GO:0008301 GO:0030261 GO:0032040 GO:0033553 GO:0044804 GO:0044877 GO:0060962 GO:0070550 GO:0090202 GO:0090579,24,0.0,0.38848920863309355,0.057912457912457915,0.5,0.35384615384615387,0.0
YGL008C,krogan,,GO:0000166;GO:0005524;GO:0005739;GO:0005829;GO:0005886;GO:0006811;GO:0008553;GO:0016020;GO:0016021;GO:0016887;GO:0045121;GO:0046872;GO:0051453;GO:0055085;GO:0120029;GO:1902600;GO:1902906;GO:1904263,,,GO:0000166;GO:0005524;GO:0005739;GO:0005829;GO:0005886;GO:0006811;GO:0008553;GO:0016020;GO:0016021;GO:0016887;GO:0045121;GO:0046872;GO:0051453;GO:0055085;GO:0120029;GO:1902600;GO:1902906;GO:1904263,YAL007C;YBR159W;YDL095W;YGL167C;YHR039C;YJR010C-A,6.0,0.0,5,YGL008C GO:0000166 GO:0005524 GO:0005739 GO:0005829 GO:0005886 GO:0006811 GO:0008553 GO:0016020 GO:0016021 GO:0016887 GO:0045121 GO:0046872 GO:0051453 GO:0055085 GO:0120029 GO:1902600 GO:1902906 GO:1904263,19,0.0,0.03597122302158273,0.0,0.2857142857142857,0.27692307692307694,0.0
YGL055W,krogan,,GO:0000001;GO:0004768;GO:0005783;GO:0005789;GO:0006629;GO:0006631;GO:0006633;GO:0006636;GO:0009055;GO:0016020;GO:0016021;GO:0016491;GO:0016717;GO:0020037;GO:0022900;GO:0030176;GO:0045471;GO:0046872;GO:0055114,,,GO:0000001;GO:0004768;GO:0005783;GO:0005789;GO:0006629;GO:0006631;GO:0006633;GO:0006636;GO:0009055;GO:0016020;GO:0016021;GO:0016491;GO:0016717;GO:0020037;GO:0022900;GO:0030176;GO:0045471;GO:0046872;GO:0055114,YAL007C;YJR010C-A,2.0,0.0,2,YGL055W GO:0000001 GO:0004768 GO:0005783 GO:0005789 GO:0006629 GO:0006631 GO:0006633 GO:0006636 GO:0009055 GO:0016020 GO:0016021 GO:0016491 GO:0016717 GO:0020037 GO:0022900 GO:0030176 GO:0045471 GO:0046872 GO:0055114,20,0.0,0.007194244604316547,0.0,0.07142857142857142,0.2923076923076923,0.0
YGL200C,krogan,,GO:0000139;GO:0005783;GO:0005789;GO:0005793;GO:0005794;GO:0006621;GO:0006886;GO:0006888;GO:0007030;GO:0015031;GO:0016020;GO:0016021;GO:0016050;GO:0016192;GO:0030134,,,GO:0000139;GO:0005783;GO:0005789;GO:0005793;GO:0005794;GO:0006621;GO:0006886;GO:0006888;GO:0007030;GO:0015031;GO:0016020;GO:0016021;GO:0016050;GO:0016192;GO:0030134,YAL007C;YAR002C-A;YDL014W;YDL053C;YDR174W;YDR381W;YFR015C;YLR150W;YML012W,9.0,0.2222222222222222,6,YGL200C GO:0000139 GO:0005783 GO:0005789 GO:0005793 GO:0005794 GO:0006621 GO:0006886 GO:0006888 GO:0007030 GO:0015031 GO:0016020 GO:0016021 GO:0016050 GO:0016192 GO:0030134,16,0.0,0.05755395683453238,0.2222222222222222,0.35714285714285715,0.23076923076923078,0.0
YGR231C,krogan,,GO:0000001;GO:0001302;GO:0005739;GO:0005743;GO:0006457;GO:0016020;GO:0016021;GO:0031966;GO:0045861,,,GO:0000001;GO:0001302;GO:0005739;GO:0005743;GO:0006457;GO:0016020;GO:0016021;GO:0031966;GO:0045861,YAL007C,1.0,0.0,1,YGR231C GO:0000001 GO:0001302 GO:0005739 GO:0005743 GO:0006457 GO:0016020 GO:0016021 GO:0031966 GO:0045861,10,0.0,0.0,0.0,0.0,0.13846153846153847,0.0
YJL034W,krogan,,GO:0000166;GO:0000742;GO:0001300;GO:0005524;GO:0005634;GO:0005737;GO:0005783;GO:0005788;GO:0006616;GO:0006986;GO:0016020;GO:0016787;GO:0016887;GO:0030433;GO:0030968;GO:0031072;GO:0031204;GO:0034099;GO:0034620;GO:0034663;GO:0042026;GO:0044183;GO:0051082;GO:0051085;GO:0051787;GO:0070880;GO:0070972,,,GO:0000166;GO:0000742;GO:0001300;GO:0005524;GO:0005634;GO:0005737;GO:0005783;GO:0005788;GO:0006616;GO:0006986;GO:0016020;GO:0016787;GO:0016887;GO:0030433;GO:0030968;GO:0031072;GO:0031204;GO:0034099;GO:0034620;GO:0034663;GO:0042026;GO:0044183;GO:0051082;GO:0051085;GO:0051787;GO:0070880;GO:0070972,YAL007C;YBL003C;YDL055C;YJR104C;YKL117W;YMR214W;YOR081C,7.0,0.09523809523809523,4,YJL034W GO:0000166 GO:0000742 GO:0001300 GO:0005524 GO:0005634 GO:0005737 GO:0005783 GO:0005788 GO:0006616 GO:0006986 GO:0016020 GO:0016787 GO:0016887 GO:0030433 GO:0030968 GO:0031072 GO:0031204 GO:0034099 GO:0034620 GO:0034663 GO:0042026 GO:0044183 GO:0051082 GO:0051085 GO:0051787 GO:0070880 GO:0070972,28,0.0,0.04316546762589928,0.09523809523809523,0.21428571428571427,0.4153846153846154,0.0
YLR075W,krogan,,GO:0000027;GO:0002181;GO:0003735;GO:0005737;GO:0005840;GO:0006412;GO:0006415;GO:0022625,,,GO:0000027;GO:0002181;GO:0003735;GO:0005737;GO:0005840;GO:0006412;GO:0006415;GO:0022625,YAL007C;YGL167C;YIL043C;YIR012W;YJR010C-A;YPR161C;YDL182W;YPL220W,8.0,0.0,6,YLR075W GO:0000027 GO:0002181 GO:0003735 GO:0005737 GO:0005840 GO:0006412 GO:0006415 GO:0022625,9,0.0,0.050359712230215826,0.0,0.35714285714285715,0.12307692307692308,0.0
YLR150W,krogan,,GO:0000723;GO:0003677;GO:0005634;GO:0005737;GO:0005844;GO:0006414;GO:0031929;GO:0042162;GO:0043022;GO:0043066;GO:0043558;GO:0045142;GO:0048471,,,GO:0000723;GO:0003677;GO:0005634;GO:0005737;GO:0005844;GO:0006414;GO:0031929;GO:0042162;GO:0043022;GO:0043066;GO:0043558;GO:0045142;GO:0048471,YAL007C;YAL017W;YBL024W;YBL036C;YBL093C;YBR087W;YBR175W;YBR193C;YDL043C;YDL060W;YDL095W;YDL182W;YDL208W;YDR091C;YDR283C;YDR496C;YER035W;YER116C;YER151C;YGL120C;YGL122C;YGL127C;YGL173C;YGL200C;YGL207W;YGL213C;YGR090W;YHR039C;YHR090C;YIL043C;YIL076W;YIL103W;YIL137C;YJL033W;YJL044C;YJL047C;YJL109C;YJR010C-A;YJR084W;YKL028W;YKL212W;YLR002C;YLR022C;YLR320W;YLR333C;YLR363W-A;YLR398C;YLR418C;YLR435W;YLR455W;YML006C;YML102W;YMR173W;YMR240C;YNL110C;YNL136W;YNL186W;YNL262W;YNL317W;YNR051C;YNR053C;YOL004W;YOL059W;YOL068C;YOR058C;YOR206W;YOR257W;YOR359W;YPL001W;YPL146C;YPL150W;YPL245W;YPR161C;YPR175W;YPR116W,75.0,0.014054054054054054,8,YLR150W GO:0000723 GO:0003677 GO:0005634 GO:0005737 GO:0005844 GO:0006414 GO:0031929 GO:0042162 GO:0043022 GO:0043066 GO:0043558 GO:0045142 GO:0048471,14,0.0,0.5323741007194245,0.014054054054054054,0.5,0.2,0.0
YLR342W,krogan,,GO:0000148;GO:0003843;GO:0005739;GO:0005886;GO:0005933;GO:0005934;GO:0005935;GO:0006075;GO:0008360;GO:0008361;GO:0016020;GO:0016021;GO:0016740;GO:0016757;GO:0030479;GO:0034413;GO:0045807;GO:0046527;GO:0071555;GO:0071944,,,GO:0000148;GO:0003843;GO:0005739;GO:0005886;GO:0005933;GO:0005934;GO:0005935;GO:0006075;GO:0008360;GO:0008361;GO:0016020;GO:0016021;GO:0016740;GO:0016757;GO:0030479;GO:0034413;GO:0045807;GO:0046527;GO:0071555;GO:0071944,YAL007C;YIL043C;YJR010C-A,3.0,0.0,3,YLR342W GO:0000148 GO:0003843 GO:0005739 GO:0005886 GO:0005933 GO:0005934 GO:0005935 GO:0006075 GO:0008360 GO:0008361 GO:0016020 GO:0016021 GO:0016740 GO:0016757 GO:0030479 GO:0034413 GO:0045807 GO:0046527 GO:0071555 GO:0071944,21,0.0,0.014388489208633094,0.0,0.14285714285714285,0.3076923076923077,0.0
YML012W,krogan,,GO:0000139;GO:0000324;GO:0005783;GO:0005789;GO:0005793;GO:0005794;GO:0006886;GO:0006888;GO:0007030;GO:0015031;GO:0016020;GO:0016021;GO:0016192;GO:0030134,,,GO:0000139;GO:0000324;GO:0005783;GO:0005789;GO:0005793;GO:0005794;GO:0006886;GO:0006888;GO:0007030;GO:0015031;GO:0016020;GO:0016021;GO:0016192;GO:0030134,YAL007C;YGL200C;YBR009C;YDR174W;YDR381W;YGL137W;YIR022W;YLR197W;YML055W;YOL012C,10.0,0.17777777777777778,6,YML012W GO:0000139 GO:0000324 GO:0005783 GO:0005789 GO:0005793 GO:0005794 GO:0006886 GO:0006888 GO:0007030 GO:0015031 GO:0016020 GO:0016021 GO:0016192 GO:0030134,15,0.0,0.06474820143884892,0.17777777777777778,0.35714285714285715,0.2153846153846154,0.0
YMR214W,krogan,,GO:0005783;GO:0005788;GO:0006457;GO:0006986;GO:0015031;GO:0030433;GO:0031072;GO:0034975;GO:0046872;GO:0051082;GO:0051087,,,GO:0005783;GO:0005788;GO:0006457;GO:0006986;GO:0015031;GO:0030433;GO:0031072;GO:0034975;GO:0046872;GO:0051082;GO:0051087,YAL007C;YBL060W;YDR166C;YEL030W;YJL034W,5.0,0.1,4,YMR214W GO:0005783 GO:0005788 GO:0006457 GO:0006986 GO:0015031 GO:0030433 GO:0031072 GO:0034975 GO:0046872 GO:0051082 GO:0051087,12,0.0,0.02877697841726619,0.1,0.21428571428571427,0.16923076923076924,0.0
YNL055C,krogan,,GO:0005737;GO:0005739;GO:0005741;GO:0006811;GO:0006915;GO:0007005;GO:0008308;GO:0015288;GO:0015698;GO:0016020;GO:0016021;GO:0031307;GO:0042307;GO:0045454;GO:0046930;GO:0048039;GO:0051027;GO:0055085;GO:0071902;GO:0098656,,,GO:0005737;GO:0005739;GO:0005741;GO:0006811;GO:0006915;GO:0007005;GO:0008308;GO:0015288;GO:0015698;GO:0016020;GO:0016021;GO:0031307;GO:0042307;GO:0045454;GO:0046930;GO:0048039;GO:0051027;GO:0055085;GO:0071902;GO:0098656,YAL007C;YBR159W;YBR247C;YDL095W;YGL167C;YIL043C;YIL076W;YIL103W;YLR320W;YPR164W,10.0,0.0,6,YNL055C GO:0005737 GO:0005739 GO:0005741 GO:0006811 GO:0006915 GO:0007005 GO:0008308 GO:0015288 GO:0015698 GO:0016020 GO:0016021 GO:0031307 GO:0042307 GO:0045454 GO:0046930 GO:0048039 GO:0051027 GO:0055085 GO:0071902 GO:0098656,21,0.0,0.06474820143884892,0.0,0.35714285714285715,0.3076923076923077,0.0
YAL011W,krogan,,GO:0000812;GO:0005634;GO:0005739;GO:0006325;GO:0006338;GO:0007029;GO:0043486,,,GO:0000812;GO:0005634;GO:0005739;GO:0006325;GO:0006338;GO:0007029;GO:0043486,YBL003C;YDR190C;YDR334W;YDR485C;YJL081C;YLR085C;YML041C;YPL235W;YLR385C;YBR231C;YGR086C,11.0,0.6545454545454545,8,YAL011W GO:0000812 GO:0005634 GO:0005739 GO:0006325 GO:0006338 GO:0007029 GO:0043486,8,0.0,0.07194244604316546,0.6545454545454545,0.5,0.1076923076923077,0.0
YDR190C,krogan,,GO:0000166;GO:0000492;GO:0000812;GO:0003678;GO:0004386;GO:0005524;GO:0005634;GO:0006281;GO:0006325;GO:0006338;GO:0006357;GO:0006974;GO:0016573;GO:0016787;GO:0031011;GO:0032508;GO:0035267;GO:0043138;GO:0043139;GO:0043486;GO:0070209;GO:0097255,,,GO:0000166;GO:0000492;GO:0000812;GO:0003678;GO:0004386;GO:0005524;GO:0005634;GO:0006281;GO:0006325;GO:0006338;GO:0006357;GO:0006974;GO:0016573;GO:0016787;GO:0031011;GO:0032508;GO:0035267;GO:0043138;GO:0043139;GO:0043486;GO:0070209;GO:0097255,YAL011W;YBR231C;YCR060W;YDL002C;YDR334W;YDR485C;YGR002C;YHR034C;YOR141C;YPL235W;YEL044W;YER092W;YFL013C;YJL081C;YLR052W;YLR385C;YML041C;YNL059C;YNL215W;YOR189W;YGR086C,21.0,0.38095238095238093,8,YDR190C GO:0000166 GO:0000492 GO:0000812 GO:0003678 GO:0004386 GO:0005524 GO:0005634 GO:0006281 GO:0006325 GO:0006338 GO:0006357 GO:0006974 GO:0016573 GO:0016787 GO:0031011 GO:0032508 GO:0035267 GO:0043138 GO:0043139 GO:0043486 GO:0070209 GO:0097255,23,0.0,0.14388489208633093,0.38095238095238093,0.5,0.3384615384615385,0.0
YDR334W,krogan,,GO:0000166;GO:0000725;GO:0000812;GO:0003677;GO:0003678;GO:0004386;GO:0005198;GO:0005524;GO:0005634;GO:0005829;GO:0006325;GO:0006338;GO:0016458;GO:0016787;GO:0016887;GO:0032508;GO:0042393;GO:0043044;GO:0043486,,,GO:0000166;GO:0000725;GO:0000812;GO:0003677;GO:0003678;GO:0004386;GO:0005198;GO:0005524;GO:0005634;GO:0005829;GO:0006325;GO:0006338;GO:0016458;GO:0016787;GO:0016887;GO:0032508;GO:0042393;GO:0043044;GO:0043486,YAL011W;YBR231C;YDR190C;YJL081C;YLR085C;YLR385C;YNL107W;YPL235W;YDR485C;YGR002C;YKR072C;YML041C;YGR086C,13.0,0.5897435897435898,8,YDR334W GO:0000166 GO:0000725 GO:0000812 GO:0003677 GO:0003678 GO:0004386 GO:0005198 GO:0005524 GO:0005634 GO:0005829 GO:0006325 GO:0006338 GO:0016458 GO:0016787 GO:0016887 GO:0032508 GO:0042393 GO:0043044 GO:0043486,20,0.0,0.08633093525179857,0.5897435897435898,0.5,0.2923076923076923,0.0
YDR485C,krogan,,GO:0000812;GO:0005634;GO:0005737;GO:0006325;GO:0006338;GO:0006355;GO:0042393;GO:0043486,,,GO:0000812;GO:0005634;GO:0005737;GO:0006325;GO:0006338;GO:0006355;GO:0042393;GO:0043486,YAL011W;YBR231C;YDR190C;YDR334W;YLR385C;YPL235W;YJL081C;YML041C;YGR086C,9.0,0.8888888888888888,8,YDR485C GO:0000812 GO:0005634 GO:0005737 GO:0006325 GO:0006338 GO:0006355 GO:0042393 GO:0043486,9,0.0,0.05755395683453238,0.8888888888888888,0.5,0.12307692307692308,0.0
