protein_a,protein_b,weight
YAL043C,YER133W,1.0
YAL043C,YGR156W,1.0
YAL043C,YJR093C,1.0
YAL043C,YKL018W,1.0
YAL043C,YKL059C,1.0
YAL043C,YLR115W,1.0
YAL043C,YLR277C,1.0
YAL043C,YLR303W,1.0
YAL043C,YNL317W,1.0
YAL043C,YOR179C,1.0
YAL043C,YPR107C,1.0
YAL044C,YLR239C,1.0
YAL047C,YHR172W,1.0
YAL047C,YLR179C,1.0
YAL047C,YNL224C,1.0
YAL051W,YCR087C-A,1.0
YAL051W,YDR060W,1.0
YAL051W,YDR412W,1.0
YAL051W,YIL036W,1.0
YAL051W,YKL172W,1.0
YAL051W,YLR197W,1.0
YAL051W,YNL325C,1.0
YAL051W,YOR310C,1.0
YAL051W,YPR169W,1.0
YAL059W,YMR124W,1.0
YAL060W,YAL061W,1.0
YAL062W,YAR071W,1.0
YAL062W,YCR020W-B,1.0
YAL062W,YGL070C,1.0
YAL062W,YIL033C,1.0
YAL062W,YOR362C,1.0
YAL062W,YPL160W,1.0
YAL067C,YNL162W,1.0
YAR002C-A,YGL200C,1.0
YAR002W,YLR335W,1.0
YAR002W,YLR347C,1.0
YAR002W,YNL189W,1.0
YAR003W,YBR175W,1.0
YAR003W,YDR469W,1.0
YAR003W,YHR119W,1.0
YAR003W,YLR015W,1.0
YAR003W,YPL138C,1.0
YAR007C,YBL002W,1.0
YAR007C,YDL140C,1.0
YAR007C,YDR129C,1.0
YAR007C,YEL030W,1.0
YAR007C,YFL014W,1.0
YAR007C,YHR164C,1.0
YAR007C,YJL115W,1.0
YAR007C,YJL173C,1.0
YAR007C,YNL031C,1.0
YAR007C,YPR161C,1.0
YAR010C,YBR264C,1.0
YAR010C,YDL095W,1.0
YAR010C,YDR044W,1.0
YAR010C,YGL035C,1.0
YAR010C,YGL167C,1.0
YAR010C,YIL043C,1.0
YAR010C,YJR010C-A,1.0
YAR010C,YLR022C,1.0
YAR010C,YML131W,1.0
YAR010C,YNR051C,1.0
YAR010C,YPR161C,1.0
YAR010C,YPR164W,1.0
YAR014C,YER133W,1.0
YAR014C,YER155C,1.0
YAR014C,YHR158C,1.0
YAR014C,YML131W,1.0
YAR019C,YDL220C,1.0
YAR019C,YGR173W,1.0
YAR042W,YDL040C,1.0
YAR042W,YLR119W,1.0
YAR042W,YPR080W,1.0
YAR062W,YMR108W,1.0
YAR071W,YBR093C,1.0
YAR071W,YCR038C,1.0
YAR071W,YFR055W,1.0
YAR071W,YGL245W,1.0
YBL002W,YBR010W,1.0
YBL002W,YBR060C,1.0
YBL002W,YCR043C,1.0
YBL002W,YDL095W,1.0
YBL002W,YDL156W,1.0
YBL002W,YDR044W,1.0
YBL002W,YDR075W,1.0
YBL002W,YDR224C,1.0
YBL002W,YER091C,1.0
YBL002W,YGL035C,1.0
YBL002W,YGL112C,1.0
YBL002W,YGL207W,1.0
YBL002W,YGL241W,1.0
YBL002W,YGR275W,1.0
YBL002W,YHR118C,1.0
YBL002W,YIL076W,1.0
YBL002W,YJR010C-A,1.0
YBL002W,YKR048C,1.0
YBL002W,YLR133W,1.0
YBL002W,YLR320W,1.0
YBL002W,YLR385C,1.0
YBL002W,YLR455W,1.0
YBL002W,YML065W,1.0
YBL002W,YMR044W,1.0
YBL002W,YMR072W,1.0
YBL002W,YMR075W,1.0
YBL002W,YNL030W,1.0
YBL002W,YNL088W,1.0
YBL002W,YNL201C,1.0
YBL002W,YNL261W,1.0
YBL002W,YOL012C,1.0
YBL002W,YOL054W,1.0
YBL002W,YPL001W,1.0
YBL002W,YPR161C,1.0
YBL002W,YPR162C,1.0
YBL003C,YAL011W,1.0
YBL003C,YBL002W,1.0
YBL003C,YBL046W,1.0
YBL003C,YBL052C,1.0
YBL003C,YBR009C,1.0
YBL003C,YBR010W,1.0
YBL003C,YBR049C,1.0
YBL003C,YBR060C,1.0
YBL003C,YBR247C,1.0
YBL003C,YCR028C-A,1.0
YBL003C,YCR087C-A,1.0
YBL003C,YDL002C,1.0
YBL003C,YDL014W,1.0
YBL003C,YDL019C,1.0
YBL003C,YDL070W,1.0
YBL003C,YDL095W,1.0
YBL003C,YDL105W,1.0
YBL003C,YDL208W,1.0
YBL003C,YDR044W,1.0
YBL003C,YDR052C,1.0
YBL003C,YDR075W,1.0
YBL003C,YDR174W,1.0
YBL003C,YDR207C,1.0
YBL003C,YDR224C,1.0
YBL003C,YDR225W,1.0
YBL003C,YDR463W,1.0
YBL003C,YEL012W,1.0
YBL003C,YEL018W,1.0
YBL003C,YER092W,1.0
YBL003C,YER116C,1.0
YBL003C,YER147C,1.0
YBL003C,YFL013C,1.0
YBL003C,YFL024C,1.0
YBL003C,YGL035C,1.0
YBL003C,YGL207W,1.0
YBL003C,YGL227W,1.0
YBL003C,YGL241W,1.0
YBL003C,YGL252C,1.0
YBL003C,YGR250C,1.0
YBL003C,YHL024W,1.0
YBL003C,YHL034C,1.0
YBL003C,YHR090C,1.0
YBL003C,YHR118C,1.0
YBL003C,YHR193C,1.0
YBL003C,YIL026C,1.0
YBL003C,YIL035C,1.0
YBL003C,YIL043C,1.0
YBL003C,YIL056W,1.0
YBL003C,YIL076W,1.0
YBL003C,YIL148W,1.0
YBL003C,YIL173W,1.0
YBL003C,YJL033W,1.0
YBL003C,YJL034W,1.0
YBL003C,YJL047C,1.0
YBL003C,YJL138C,1.0
YBL003C,YJR010C-A,1.0
YBL003C,YJR052W,1.0
YBL003C,YJR082C,1.0
YBL003C,YKR048C,1.0
YBL003C,YLR022C,1.0
YBL003C,YLR033W,1.0
YBL003C,YLR385C,1.0
YBL003C,YML069W,1.0
YBL003C,YML103C,1.0
YBL003C,YMR044W,1.0
YBL003C,YMR072W,1.0
YBL003C,YMR223W,1.0
YBL003C,YMR284W,1.0
YBL003C,YNL030W,1.0
YBL003C,YNL031C,1.0
YBL003C,YNL059C,1.0
YBL003C,YNL088W,1.0
YBL003C,YNL201C,1.0
YBL003C,YNL209W,1.0
YBL003C,YNL290W,1.0
YBL003C,YOL051W,1.0
YBL003C,YOL059W,1.0
YBL003C,YOR058C,1.0
YBL003C,YOR061W,1.0
YBL003C,YOR217W,1.0
YBL003C,YOR244W,1.0
YBL003C,YPL001W,1.0
YBL003C,YPL032C,1.0
YBL003C,YPL090C,1.0
YBL003C,YPR008W,1.0
YBL003C,YPR161C,1.0
YBL005W,YBR149W,1.0
YBL008W,YBR215W,1.0
YBL008W,YJL115W,1.0
YBL014C,YJL025W,1.0
YBL014C,YML043C,1.0
YBL016W,YBR072W,1.0
YBL016W,YDR171W,1.0
YBL016W,YLR259C,1.0
YBL016W,YNL246W,1.0
YBL019W,YCR020W-B,1.0
YBL021C,YGL045W,1.0
YBL021C,YGL237C,1.0
YBL021C,YOR358W,1.0
YBL024W,YIL070C,1.0
YBL026W,YCR077C,1.0
YBL026W,YGL173C,1.0
YBL026W,YGR074W,1.0
YBL026W,YJL124C,1.0
YBL026W,YJR022W,1.0
YBL026W,YKL173W,1.0
YBL026W,YLR275W,1.0
YBL026W,YLR438C-A,1.0
YBL026W,YMR268C,1.0
YBL026W,YPR178W,1.0
YBL032W,YGL105W,1.0
YBL032W,YLR363W-A,1.0
YBL035C,YDR054C,1.0
YBL035C,YKL210W,1.0
YBL035C,YNL102W,1.0
YBL036C,YGR185C,1.0
YBL037W,YJL084C,1.0
YBL037W,YKR026C,1.0
YBL037W,YNL265C,1.0
YBL037W,YOL062C,1.0
YBL038W,YGR093W,1.0
YBL038W,YJL200C,1.0
YBL038W,YKR006C,1.0
YBL038W,YLR399C,1.0
YBL038W,YML025C,1.0
YBL039C,YGL022W,1.0
YBL039C,YGR124W,1.0
YBL041W,YER012W,1.0
YBL041W,YFR050C,1.0
YBL041W,YGL011C,1.0
YBL041W,YGR135W,1.0
YBL041W,YGR253C,1.0
YBL041W,YJL001W,1.0
YBL041W,YML092C,1.0
YBL041W,YMR314W,1.0
YBL041W,YOL038W,1.0
YBL041W,YOR157C,1.0
YBL041W,YOR362C,1.0
YBL041W,YPR103W,1.0
YBL045C,YPR191W,1.0
YBL046W,YDR075W,1.0
YBL046W,YDR225W,1.0
YBL046W,YDR293C,1.0
YBL046W,YML010W,1.0
YBL046W,YNL201C,1.0
YBL047C,YCR030C,1.0
YBL047C,YJL148W,1.0
YBL052C,YJR082C,1.0
YBL052C,YLR455W,1.0
YBL052C,YPR031W,1.0
YBL055C,YOR052C,1.0
YBL056W,YDR071C,1.0
YBL056W,YLR240W,1.0
YBL058W,YDL126C,1.0
YBL058W,YDR295C,1.0
YBL058W,YHR064C,1.0
YBL058W,YJR098C,1.0
YBL058W,YLR377C,1.0
YBL058W,YML064C,1.0
YBL058W,YNL155W,1.0
YBL058W,YOR342C,1.0
YBL058W,YPL133C,1.0
YBL058W,YPR168W,1.0
YBL061C,YGL073W,1.0
YBL061C,YJL020C,1.0
YBL063W,YMR016C,1.0
YBL067C,YER030W,1.0
YBL067C,YML105C,1.0
YBL067C,YOL087C,1.0
YBL071W-A,YDR385W,1.0
YBL071W-A,YEL037C,1.0
YBL071W-A,YIL103W,1.0
YBL071W-A,YKL191W,1.0
YBL071W-A,YLR384C,1.0
YBL074C,YGR074W,1.0
YBL074C,YHR165C,1.0
YBL074C,YPR182W,1.0
YBL075C,YCR043C,1.0
YBL075C,YDL095W,1.0
YBL075C,YDR044W,1.0
YBL075C,YDR128W,1.0
YBL075C,YDR449C,1.0
YBL075C,YKR072C,1.0
YBL075C,YLL060C,1.0
YBL075C,YLR320W,1.0
YBL075C,YLR325C,1.0
YBL075C,YMR123W,1.0
YBL075C,YNL250W,1.0
YBL075C,YNL293W,1.0
YBL076C,YDR238C,1.0
YBL076C,YFR052W,1.0
YBL076C,YLR060W,1.0
YBL078C,YLR295C,1.0
YBL079W,YGR037C,1.0
YBL081W,YPR173C,1.0
YBL084C,YBR054W,1.0
YBL084C,YDR118W,1.0
YBL084C,YGL240W,1.0
YBL084C,YHR166C,1.0
YBL084C,YKL022C,1.0
YBL084C,YLR127C,1.0
YBL084C,YNL172W,1.0
YBL084C,YOR242C,1.0
YBL084C,YOR249C,1.0
YBL086C,YDL182W,1.0
YBL086C,YLR045C,1.0
YBL087C,YDR361C,1.0
YBL087C,YGL227W,1.0
YBL087C,YJR010C-A,1.0
YBL087C,YKL117W,1.0
YBL090W,YJL063C,1.0
YBL093C,YBR193C,1.0
YBL093C,YBR253W,1.0
YBL093C,YDL005C,1.0
YBL093C,YDR308C,1.0
YBL093C,YER022W,1.0
YBL093C,YGL025C,1.0
YBL093C,YGL127C,1.0
YBL093C,YGR104C,1.0
YBL093C,YGR198W,1.0
YBL093C,YHR058C,1.0
YBL093C,YHR121W,1.0
YBL093C,YNL236W,1.0
YBL093C,YNR010W,1.0
YBL093C,YOL051W,1.0
YBL093C,YOR174W,1.0
YBL093C,YPR070W,1.0
YBL093C,YPR168W,1.0
YBL097W,YFR031C,1.0
YBL097W,YHL002W,1.0
YBL097W,YLR086W,1.0
YBL097W,YLR272C,1.0
YBL103C,YOL067C,1.0
YBL105C,YBR166C,1.0
YBL105C,YIL143C,1.0
YBL105C,YMR113W,1.0
YBL105C,YMR219W,1.0
YBL111C,YIL069C,1.0
YBR001C,YBR109C,1.0
YBR001C,YBR127C,1.0
YBR001C,YDR001C,1.0
YBR009C,YBL002W,1.0
YBR009C,YBR010W,1.0
YBR009C,YBR060C,1.0
YBR009C,YCL040W,1.0
YBR009C,YCR043C,1.0
YBR009C,YDL095W,1.0
YBR009C,YDR044W,1.0
YBR009C,YDR174W,1.0
YBR009C,YDR224C,1.0
YBR009C,YEL056W,1.0
YBR009C,YER116C,1.0
YBR009C,YGL207W,1.0
YBR009C,YGR275W,1.0
YBR009C,YHR118C,1.0
YBR009C,YIL070C,1.0
YBR009C,YIL076W,1.0
YBR009C,YJL047C,1.0
YBR009C,YJL115W,1.0
YBR009C,YLL022C,1.0
YBR009C,YLR320W,1.0
YBR009C,YML012W,1.0
YBR009C,YML065W,1.0
YBR009C,YML069W,1.0
YBR009C,YMR043W,1.0
YBR009C,YMR072W,1.0
YBR009C,YMR284W,1.0
YBR009C,YNL030W,1.0
YBR009C,YNL031C,1.0
YBR009C,YNL206C,1.0
YBR009C,YOL054W,1.0
YBR009C,YOR064C,1.0
YBR009C,YOR217W,1.0
YBR009C,YPL001W,1.0
YBR009C,YPR046W,1.0
YBR010W,YBL052C,1.0
YBR010W,YBL103C,1.0
YBR010W,YBR087W,1.0
YBR010W,YBR245C,1.0
YBR010W,YDR052C,1.0
YBR010W,YDR463W,1.0
YBR010W,YEL056W,1.0
YBR010W,YER147C,1.0
YBR010W,YFR034C,1.0
YBR010W,YFR037C,1.0
YBR010W,YGL035C,1.0
YBR010W,YGR081C,1.0
YBR010W,YIL070C,1.0
YBR010W,YJL047C,1.0
YBR010W,YJL115W,1.0
YBR010W,YLL022C,1.0
YBR010W,YLR320W,1.0
YBR010W,YMR031C,1.0
YBR010W,YMR044W,1.0
YBR010W,YMR284W,1.0
YBR010W,YMR288W,1.0
YBR010W,YMR308C,1.0
YBR010W,YNL031C,1.0
YBR010W,YNL054W,1.0
YBR010W,YNL167C,1.0
YBR010W,YNL206C,1.0
YBR010W,YPL001W,1.0
YBR010W,YPR052C,1.0
YBR011C,YKR043C,1.0
YBR011C,YLL060C,1.0
YBR011C,YLR371W,1.0
YBR011C,YPL066W,1.0
YBR011C,YPR080W,1.0
YBR017C,YBR189W,1.0
YBR017C,YGL122C,1.0
YBR017C,YLR426W,1.0
YBR017C,YOR374W,1.0
YBR019C,YLR170C,1.0
YBR028C,YIL144W,1.0
YBR030W,YLR244C,1.0
YBR034C,YEL016C,1.0
YBR039W,YGR250C,1.0
YBR044C,YJR010C-A,1.0
YBR045C,YGL057C,1.0
YBR049C,YCR047C,1.0
YBR049C,YDR490C,1.0
YBR049C,YNL088W,1.0
YBR054W,YDL013W,1.0
YBR054W,YPL263C,1.0
YBR055C,YDR473C,1.0
YBR055C,YER029C,1.0
YBR055C,YER172C,1.0
YBR055C,YGR091W,1.0
YBR055C,YKL173W,1.0
YBR055C,YLR147C,1.0
YBR055C,YNR011C,1.0
YBR055C,YOR308C,1.0
YBR055C,YPR178W,1.0
YBR057C,YLL040C,1.0
YBR058C,YBR112C,1.0
YBR058C,YCR073W-A,1.0
YBR058C,YDL182W,1.0
YBR058C,YKR049C,1.0
YBR058C,YMR304W,1.0
YBR058C,YOL006C,1.0
YBR058C,YPL085W,1.0
YBR059C,YOL068C,1.0
YBR060C,YHR118C,1.0
YBR060C,YLL004W,1.0
YBR060C,YML065W,1.0
YBR060C,YNL261W,1.0
YBR060C,YPR162C,1.0
YBR061C,YMR259C,1.0
YBR061C,YPL183C,1.0
YBR062C,YMR083W,1.0
YBR065C,YPR080W,1.0
YBR066C,YKR015C,1.0
YBR067C,YER151C,1.0
YBR072W,YBR127C,1.0
YBR072W,YDR213W,1.0
YBR072W,YER070W,1.0
YBR072W,YJL047C,1.0
YBR072W,YJR043C,1.0
YBR072W,YMR083W,1.0
YBR072W,YNL313C,1.0
YBR072W,YOR159C,1.0
YBR072W,YPL226W,1.0
YBR072W,YPR056W,1.0
YBR072W,YPR161C,1.0
YBR079C,YAR042W,1.0
YBR079C,YDL019C,1.0
YBR079C,YDR429C,1.0
YBR079C,YER025W,1.0
YBR079C,YHL004W,1.0
YBR079C,YJR007W,1.0
YBR079C,YJR045C,1.0
YBR079C,YKL004W,1.0
YBR079C,YLR192C,1.0
YBR079C,YLR199C,1.0
YBR079C,YMR146C,1.0
YBR079C,YMR186W,1.0
YBR079C,YMR309C,1.0
YBR079C,YNL244C,1.0
YBR079C,YOR052C,1.0
YBR079C,YOR361C,1.0
YBR079C,YPR041W,1.0
YBR079C,YPR116W,1.0
YBR081C,YBR198C,1.0
YBR081C,YDR145W,1.0
YBR081C,YDR167W,1.0
YBR081C,YDR176W,1.0
YBR081C,YDR392W,1.0
YBR081C,YDR448W,1.0
YBR081C,YGL112C,1.0
YBR081C,YGR252W,1.0
YBR081C,YLR055C,1.0
YBR081C,YMR223W,1.0
YBR081C,YMR236W,1.0
YBR081C,YOL148C,1.0
YBR081C,YPL047W,1.0
YBR082C,YDR059C,1.0
YBR082C,YER068W,1.0
YBR082C,YKL010C,1.0
YBR083W,YKL126W,1.0
YBR084W,YDL130W,1.0
YBR084W,YGR204W,1.0
YBR087W,YCL016C,1.0
YBR087W,YDR087C,1.0
YBR087W,YEL026W,1.0
YBR087W,YJR068W,1.0
YBR087W,YLR223C,1.0
YBR087W,YMR031C,1.0
YBR087W,YNL290W,1.0
YBR087W,YOR144C,1.0
YBR088C,YJR043C,1.0
YBR088C,YKL113C,1.0
YBR094W,YEL015W,1.0
YBR094W,YKR009C,1.0
YBR094W,YOL149W,1.0
YBR095C,YDL076C,1.0
YBR095C,YIL084C,1.0
YBR095C,YMR263W,1.0
YBR095C,YNL097C,1.0
YBR095C,YNL330C,1.0
YBR095C,YOL004W,1.0
YBR095C,YPL139C,1.0
YBR095C,YPL181W,1.0
YBR098W,YDR386W,1.0
YBR101C,YBR115C,1.0
YBR101C,YGL099W,1.0
YBR103W,YCR033W,1.0
YBR103W,YDR155C,1.0
YBR103W,YIL112W,1.0
YBR103W,YKR029C,1.0
YBR105C,YIL097W,1.0
YBR105C,YMR135C,1.0
YBR107C,YBR211C,1.0
YBR107C,YDR254W,1.0
YBR107C,YDR318W,1.0
YBR107C,YGR179C,1.0
YBR107C,YJR135C,1.0
YBR107C,YLR315W,1.0
YBR107C,YPL018W,1.0
YBR107C,YPR046W,1.0
YBR107C,YPR049C,1.0
YBR108W,YGR086C,1.0
YBR109C,YBR130C,1.0
YBR109C,YBR218C,1.0
YBR109C,YCR008W,1.0
YBR109C,YDR155C,1.0
YBR109C,YER098W,1.0
YBR109C,YFR014C,1.0
YBR109C,YGL242C,1.0
YBR109C,YGR240C,1.0
YBR109C,YJL115W,1.0
YBR109C,YJR104C,1.0
YBR109C,YKL122C,1.0
YBR109C,YKL129C,1.0
YBR109C,YKL190W,1.0
YBR109C,YLL060C,1.0
YBR109C,YLR288C,1.0
YBR109C,YLR304C,1.0
YBR109C,YLR356W,1.0
YBR109C,YLR433C,1.0
YBR109C,YML057W,1.0
YBR109C,YMR071C,1.0
YBR109C,YMR109W,1.0
YBR109C,YMR315W,1.0
YBR109C,YNL031C,1.0
YBR109C,YOL016C,1.0
YBR109C,YOL109W,1.0
YBR109C,YOR127W,1.0
YBR109C,YOR326W,1.0
YBR115C,YCR020W-B,1.0
YBR119W,YDL087C,1.0
YBR119W,YDR235W,1.0
YBR119W,YDR240C,1.0
YBR119W,YER029C,1.0
YBR119W,YFL017W-A,1.0
YBR119W,YGR013W,1.0
YBR119W,YGR074W,1.0
YBR119W,YHR086W,1.0
YBR119W,YIL061C,1.0
YBR119W,YKL012W,1.0
YBR119W,YLR147C,1.0
YBR119W,YLR275W,1.0
YBR119W,YLR298C,1.0
YBR119W,YML046W,1.0
YBR123C,YDR362C,1.0
YBR123C,YGR047C,1.0
YBR123C,YOR110W,1.0
YBR123C,YPL007C,1.0
YBR125C,YDR071C,1.0
YBR126C,YDR074W,1.0
YBR126C,YLR002C,1.0
YBR126C,YLR215C,1.0
YBR126C,YML100W,1.0
YBR126C,YMR261C,1.0
YBR127C,YDL185W,1.0
YBR127C,YDR289C,1.0
YBR127C,YDR328C,1.0
YBR127C,YEL051W,1.0
YBR127C,YGL227W,1.0
YBR127C,YGR020C,1.0
YBR127C,YGR155W,1.0
YBR127C,YHR039C-A,1.0
YBR127C,YJR033C,1.0
YBR127C,YJR069C,1.0
YBR127C,YML121W,1.0
YBR127C,YNL239W,1.0
YBR127C,YOR189W,1.0
YBR127C,YPL151C,1.0
YBR127C,YPR036W,1.0
YBR127C,YPR116W,1.0
YBR130C,YKL130C,1.0
YBR131W,YGL124C,1.0
YBR135W,YDL155W,1.0
YBR135W,YDR099W,1.0
YBR135W,YJL138C,1.0
YBR135W,YLL050C,1.0
YBR135W,YLR079W,1.0
YBR135W,YLR109W,1.0
YBR136W,YHR114W,1.0
YBR136W,YMR259C,1.0
YBR136W,YOR181W,1.0
YBR137W,YOL111C,1.0
YBR137W,YOR007C,1.0
YBR139W,YDR416W,1.0
YBR139W,YER062C,1.0
YBR140C,YML058W,1.0
YBR142W,YDL168W,1.0
YBR142W,YER035W,1.0
YBR142W,YHR052W,1.0
YBR142W,YOL064C,1.0
YBR146W,YBR251W,1.0
YBR146W,YDR337W,1.0
YBR146W,YER050C,1.0
YBR146W,YGR084C,1.0
YBR146W,YNL137C,1.0
YBR148W,YER006W,1.0
YBR148W,YIL069C,1.0
YBR150C,YLR106C,1.0
YBR152W,YDL098C,1.0
YBR152W,YGR075C,1.0
YBR154C,YDL115C,1.0
YBR154C,YDL150W,1.0
YBR154C,YDR156W,1.0
YBR154C,YFL023W,1.0
YBR154C,YGL043W,1.0
YBR154C,YGL070C,1.0
YBR154C,YGR005C,1.0
YBR154C,YGR063C,1.0
YBR154C,YGR186W,1.0
YBR154C,YIL021W,1.0
YBR154C,YJL011C,1.0
YBR154C,YJL140W,1.0
YBR154C,YJR063W,1.0
YBR154C,YLR200W,1.0
YBR154C,YNL113W,1.0
YBR154C,YNL248C,1.0
YBR154C,YNR003C,1.0
YBR154C,YOL005C,1.0
YBR154C,YOR151C,1.0
YBR154C,YOR207C,1.0
YBR154C,YOR210W,1.0
YBR154C,YOR224C,1.0
YBR154C,YOR340C,1.0
YBR154C,YOR341W,1.0
YBR154C,YPL129W,1.0
YBR154C,YPR010C,1.0
YBR154C,YPR110C,1.0
YBR154C,YPR187W,1.0
YBR155W,YCL014W,1.0
YBR155W,YJR031C,1.0
YBR156C,YJR089W,1.0
YBR156C,YNL162W,1.0
YBR156C,YPL209C,1.0
YBR159W,YBL060W,1.0
YBR159W,YJL123C,1.0
YBR159W,YJR065C,1.0
YBR159W,YLR314C,1.0
YBR159W,YNR035C,1.0
YBR159W,YOR233W,1.0
YBR160W,YLR187W,1.0
YBR160W,YLR210W,1.0
YBR160W,YPR119W,1.0
YBR160W,YPR120C,1.0
YBR169C,YKL210W,1.0
YBR169C,YPL012W,1.0
YBR170C,YGR048W,1.0
YBR170C,YKL117W,1.0
YBR170C,YNL155W,1.0
YBR171W,YOR254C,1.0
YBR173C,YER012W,1.0
YBR173C,YER094C,1.0
YBR173C,YGL096W,1.0
YBR173C,YKL206C,1.0
YBR173C,YKR054C,1.0
YBR173C,YLR199C,1.0
YBR173C,YOR157C,1.0
YBR175W,YBR258C,1.0
YBR175W,YDR469W,1.0
YBR175W,YHR029C,1.0
YBR175W,YHR119W,1.0
YBR175W,YJR009C,1.0
YBR175W,YJR094W-A,1.0
YBR175W,YKL018W,1.0
YBR175W,YLR015W,1.0
YBR175W,YMR186W,1.0
YBR175W,YPL138C,1.0
YBR186W,YHR104W,1.0
YBR187W,YOL041C,1.0
YBR187W,YPL217C,1.0
YBR187W,YPR112C,1.0
YBR188C,YLL036C,1.0
YBR188C,YLR117C,1.0
YBR189W,YDL040C,1.0
YBR189W,YDL060W,1.0
YBR189W,YDL182W,1.0
YBR189W,YGL167C,1.0
YBR189W,YIL043C,1.0
YBR189W,YJR010C-A,1.0
YBR189W,YPL081W,1.0
YBR189W,YPR161C,1.0
YBR193C,YBL082C,1.0
YBR193C,YBR253W,1.0
YBR193C,YDR308C,1.0
YBR193C,YER022W,1.0
YBR193C,YGL127C,1.0
YBR193C,YGL151W,1.0
YBR193C,YGR104C,1.0
YBR193C,YGR116W,1.0
YBR193C,YHR041C,1.0
YBR193C,YHR058C,1.0
YBR193C,YLR071C,1.0
YBR193C,YMR112C,1.0
